Tm,R/G,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,LOB
St. Louis Cardinals,4.44,719,1376,264,12,209,697,101,29,570,1326,0.25,0.326,0.416,0.742,101,2291,122,1183
Toronto Blue Jays,4.6,746,1423,292,19,188,705,99,34,550,1303,0.256,0.329,0.417,0.745,106,2317,129,1170
Texas Rangers,5.44,881,1470,326,18,233,845,79,19,599,1416,0.263,0.337,0.452,0.79,112,2531,103,1164
Los Angeles Dodgers,5.59,906,1422,303,20,249,877,105,25,644,1359,0.257,0.34,0.455,0.795,113,2512,98,1163
Seattle Mariners,4.68,758,1332,283,12,210,728,118,30,548,1603,0.242,0.321,0.413,0.734,107,2269,95,1144
San Diego Padres,4.64,752,1316,273,14,205,719,137,32,653,1311,0.244,0.329,0.413,0.742,106,2232,134,1144
Minnesota Twins,4.8,778,1336,264,24,233,745,86,18,594,1654,0.243,0.326,0.428,0.753,106,2347,119,1138
Houston Astros,5.1,827,1441,280,22,222,799,107,32,550,1241,0.259,0.331,0.437,0.768,111,2431,124,1134
San Francisco Giants,4.16,674,1271,256,13,174,651,57,16,544,1492,0.235,0.312,0.383,0.695,92,2075,116,1130
Chicago Cubs,5.06,819,1399,269,30,196,786,140,34,570,1391,0.254,0.33,0.421,0.751,102,2316,95,1127
Philadelphia Phillies,4.91,796,1417,291,29,220,771,141,26,539,1481,0.256,0.327,0.438,0.765,106,2426,110,1123
Cleveland Guardians,4.09,662,1379,294,29,124,622,151,36,471,1142,0.25,0.313,0.381,0.695,94,2103,108,1121
Boston Red Sox,4.77,772,1437,339,19,182,734,112,26,486,1372,0.258,0.324,0.424,0.748,100,2360,118,1117
Pittsburgh Pirates,4.27,692,1293,287,31,159,662,117,41,556,1464,0.239,0.315,0.392,0.707,92,2119,92,1111
Cincinnati Reds,4.83,783,1371,268,37,198,747,190,48,556,1500,0.249,0.327,0.42,0.746,99,2307,101,1107
Detroit Tigers,4.08,661,1292,245,29,165,635,85,23,508,1473,0.236,0.305,0.382,0.686,87,2090,107,1103
Los Angeles Angels,4.56,739,1346,248,26,231,708,72,31,518,1524,0.245,0.317,0.426,0.743,100,2339,117,1102
League Average,4.62,748,1361,274,24,196,717,117,29,527,1395,0.248,0.32,0.414,0.734,100,2270,116,1099
Miami Marlins,4.11,666,1423,258,23,166,633,86,21,430,1287,0.259,0.316,0.405,0.721,93,2225,159,1097
Arizona Diamondbacks,4.6,746,1359,274,44,166,706,166,26,540,1247,0.25,0.322,0.408,0.73,98,2219,121,1091
New York Mets,4.43,717,1276,221,21,215,692,118,15,525,1331,0.238,0.316,0.407,0.723,98,2184,105,1082
Washington Nationals,4.32,700,1401,279,26,151,665,127,29,423,1149,0.254,0.314,0.396,0.709,95,2185,112,1082
Milwaukee Brewers,4.49,728,1290,257,16,165,696,129,28,591,1412,0.24,0.319,0.385,0.704,92,2074,144,1075
Atlanta Braves,5.85,947,1543,293,23,307,916,132,27,538,1289,0.276,0.344,0.501,0.845,124,2803,128,1062
Tampa Bay Rays,5.31,860,1432,282,24,230,827,160,41,514,1420,0.26,0.331,0.445,0.776,115,2452,109,1047
Oakland Athletics,3.61,585,1187,225,21,171,563,149,31,498,1496,0.223,0.298,0.37,0.669,90,1967,125,1043
Baltimore Orioles,4.98,807,1399,309,28,183,780,114,24,512,1370,0.255,0.321,0.421,0.742,108,2313,114,1041
Colorado Rockies,4.45,721,1368,305,31,163,685,76,25,447,1543,0.249,0.31,0.405,0.715,83,2224,124,1038
Kansas City Royals,4.17,676,1325,258,43,163,651,163,47,411,1396,0.244,0.303,0.398,0.7,91,2158,96,1009
Chicago White Sox,3.96,641,1308,264,13,171,617,86,22,377,1424,0.238,0.291,0.384,0.675,83,2111,122,1009
New York Yankees,4.15,673,1207,221,15,219,650,100,30,557,1427,0.227,0.304,0.397,0.701,91,2115,119,1007
,4.62,22432,40839,8228,712,5868,21512,3503,866,15819,41843,0.248,0.32,0.414,0.734,100,68095,3466,32964