Tm,RA/G,W-L%,ERA,CG,tSho,cSho,SV,IP,H,R,ER,HR,BB,SO,WP,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W▼,LOB
Minnesota Twins,4.07,0.537,3.87,2,12,2,38,1451.1,1294,659,624,194,443,1560,51,113,3.89,1.197,8,1.2,2.7,9.7,3.52,1046
Seattle Mariners,4.07,0.543,3.74,2,18,1,44,1449.1,1300,659,602,184,421,1459,41,107,3.88,1.187,8.1,1.1,2.6,9.1,3.47,1026
Tampa Bay Rays,4.1,0.611,3.86,0,14,0,45,1442,1258,665,618,177,439,1507,65,107,3.8,1.177,7.9,1.1,2.7,9.4,3.43,1019
San Francisco Giants,4.44,0.488,4.02,4,11,2,50,1434.2,1395,719,641,173,403,1359,60,105,3.92,1.253,8.8,1.1,2.5,8.5,3.37,1038
Toronto Blue Jays,4.14,0.549,3.78,1,15,1,51,1451.2,1326,671,610,198,488,1528,42,113,4.06,1.25,8.2,1.2,3,9.5,3.13,1100
Philadelphia Phillies,4.41,0.556,4.03,1,4,1,45,1442.1,1318,715,646,185,470,1454,35,108,4,1.24,8.2,1.2,2.9,9.1,3.09,1056
Los Angeles Dodgers,4.31,0.617,4.06,0,15,0,44,1446.1,1284,699,652,200,454,1388,49,108,4.23,1.202,8,1.2,2.8,8.6,3.06,1000
Baltimore Orioles,4.19,0.623,3.89,0,12,0,49,1453.2,1334,678,629,177,473,1431,64,105,3.98,1.243,8.3,1.1,2.9,8.9,3.03,1080
Miami Marlins,4.46,0.519,4.21,3,9,1,43,1435.1,1340,723,672,191,514,1490,38,108,4.13,1.292,8.4,1.2,3.2,9.3,2.9,1081
Milwaukee Brewers,3.99,0.568,3.71,1,16,1,46,1443,1218,647,595,198,493,1425,54,116,4.21,1.186,7.6,1.2,3.1,8.9,2.89,1036
Detroit Tigers,4.57,0.481,4.24,0,15,0,41,1442.1,1320,740,680,187,476,1374,51,105,4.13,1.245,8.2,1.2,3,8.6,2.89,1027
Boston Red Sox,4.79,0.481,4.52,0,5,0,43,1430,1416,776,718,208,497,1423,49,101,4.37,1.338,8.9,1.3,3.1,9,2.86,1117
Atlanta Braves,4.42,0.642,4.14,1,15,1,52,1440,1341,716,662,187,534,1516,56,108,4.1,1.302,8.4,1.2,3.3,9.5,2.84,1112
New York Yankees,4.31,0.506,3.97,3,8,3,44,1439.2,1272,698,635,195,508,1439,60,110,4.25,1.236,8,1.2,3.2,9,2.83,1080
Texas Rangers,4.42,0.556,4.28,3,13,1,30,1436.1,1330,716,683,198,491,1351,46,105,4.31,1.268,8.3,1.2,3.1,8.5,2.75,1016
Houston Astros,4.31,0.556,3.94,2,7,2,42,1445.1,1312,698,632,201,537,1460,37,107,4.31,1.279,8.2,1.3,3.3,9.1,2.72,1091
Chicago Cubs,4.46,0.512,4.08,1,13,1,35,1435.1,1328,723,651,179,513,1377,57,109,4.16,1.283,8.3,1.1,3.2,8.6,2.68,1073
League Average,4.62,0.5,4.33,1,10,1,41,1436,1361,748,690,196,527,1395,54,101,4.33,1.315,8.5,1.2,3.3,8.7,2.65,1099
San Diego Padres,4,0.506,3.73,0,16,0,36,1441,1270,648,598,174,557,1445,48,111,4.14,1.268,7.9,1.1,3.5,9,2.59,1131
Arizona Diamondbacks,4.7,0.519,4.48,1,9,1,44,1435.1,1375,761,714,197,525,1351,40,98,4.35,1.324,8.6,1.2,3.3,8.5,2.57,1050
Cleveland Guardians,4.3,0.469,3.96,1,13,0,47,1444,1352,697,635,173,534,1311,61,105,4.21,1.306,8.4,1.1,3.3,8.2,2.46,1143
New York Mets,4.5,0.463,4.3,1,7,0,34,1416.1,1331,729,676,190,595,1397,59,99,4.47,1.36,8.5,1.2,3.8,8.9,2.35,1147
Kansas City Royals,5.3,0.346,5.17,3,6,0,28,1409,1429,859,809,207,553,1270,67,86,4.7,1.407,9.1,1.3,3.5,8.1,2.3,1060
Pittsburgh Pirates,4.88,0.469,4.6,2,10,2,47,1430,1380,790,731,179,596,1363,57,97,4.4,1.382,8.7,1.1,3.8,8.6,2.29,1171
St. Louis Cardinals,5.12,0.438,4.79,0,10,0,36,1428.1,1549,829,760,179,530,1215,62,90,4.43,1.456,9.8,1.1,3.3,7.7,2.29,1172
Los Angeles Angels,5.12,0.451,4.64,1,9,1,43,1431.2,1394,829,738,209,636,1445,70,97,4.65,1.418,8.8,1.3,4,9.1,2.27,1199
Chicago White Sox,5.19,0.377,4.87,2,7,0,28,1431.2,1372,841,774,214,654,1470,65,92,4.71,1.415,8.6,1.3,4.1,9.2,2.25,1189
Cincinnati Reds,5.07,0.506,4.83,0,6,0,53,1439.1,1426,821,772,222,613,1381,48,95,4.79,1.417,8.9,1.4,3.8,8.6,2.25,1189
Washington Nationals,5.22,0.438,5.02,0,3,0,42,1428.1,1512,845,797,245,592,1225,54,86,5.15,1.473,9.5,1.5,3.7,7.7,2.07,1167
Colorado Rockies,5.91,0.364,5.67,0,6,0,32,1414,1599,957,891,234,586,1129,51,89,5.24,1.545,10.2,1.5,3.7,7.2,1.93,1129
Oakland Athletics,5.7,0.309,5.48,0,5,0,29,1419.2,1464,924,865,213,694,1300,76,76,5.05,1.52,9.3,1.4,4.4,8.2,1.87,1219
,4.62,0.5,4.33,35,309,21,1241,43087.1,40839,22432,20710,5868,15819,41843,1613,101,4.33,1.315,8.5,1.2,3.3,8.7,2.65,32964